file,low_red,low_green,low_blue,high_red,high_green,high_blue
6751,167,145,138,192,172,162
6885,188,165,160,209,185,182
6910,193,170,162,211,185,181
6906,192,162,165,207,185,179
6902,195,166,165,210,183,179
6905,192,160,160,212,183,179
6915,194,167,160,210,184,179
6917,192,160,160,206,184,178
6909,196,170,167,211,191,183
6911,197,168,168,215,190,186

